Date,MA5_slope
2023-09-15,-1.6593365987141908
2023-09-18,1.369000244140641
2023-09-19,0.6531669616699247
2023-09-20,2.881000010172528
2023-09-21,5.36583607991535
2023-09-22,4.864666748046872
2023-09-25,3.884833017985031
2023-09-26,4.7280003865559905
2023-09-27,3.380498504638671
2023-09-28,0.17299957275392566
2023-09-29,-1.2759994506835852
2023-10-02,-0.38566716512045457
2023-10-03,-2.386834462483719
2023-10-04,-3.7931650797526117
2023-10-05,-2.318830871582032
2023-10-06,-1.6316675821939886
2023-10-09,-2.7330006917317604
2023-10-10,-2.0924977620442697
2023-10-11,0.052167256673158136
2023-10-12,1.1701657613118357
2023-10-13,1.6028358459472827
2023-10-16,1.1986671447754087
2023-10-17,2.6508316040038977
2023-10-18,6.093166097005192
2023-10-19,8.051331583658843
2023-10-20,8.161665089925116
2023-10-23,8.196666717529284
2023-10-24,7.065666198730483
2023-10-25,4.487500000000004
2023-10-26,1.4716677347818863
2023-10-27,1.7640001932779914
2023-10-30,3.355834452311195
2023-10-31,2.5851669311523318
2023-11-01,-0.7491673787434886
2023-11-02,-2.712000274658211
2023-11-03,-3.465000915527341
2023-11-06,-4.560666656494118
2023-11-07,-4.185832468668617
2023-11-08,-0.6568333943684811
2023-11-09,1.9628346761067565
2023-11-10,0.2131680806477784
2023-11-13,-2.0378351847330642
2023-11-14,-3.7278340657552036
2023-11-15,-4.591665903727221
2023-11-16,-4.503334554036447
2023-11-17,-3.223001098632802
2023-11-20,-1.6456654866536315
2023-11-21,0.7938329060872391
2023-11-22,0.8826652526855435
2023-11-24,-0.38316650390626467
2023-11-27,-1.4249992370605586
2023-11-28,-1.5128331502278485
2023-11-29,-0.7861663818359498
2023-11-30,-1.0384999593099
2023-12-01,-0.3715006510416477
2023-12-04,0.9685000101725217
2023-12-05,1.5241671244303348
2023-12-06,0.2080006917317784
2023-12-07,-0.8933324178059934
2023-12-08,-1.0556666056315034
2023-12-11,-0.2036664326985639
2023-12-12,0.4183344523111974
2023-12-13,-0.8393335978190114
2023-12-14,-1.9038342793782401
2023-12-15,-2.0896664937337284
2023-12-18,-3.5056668599446588
2023-12-19,-3.0105016072591106
2023-12-20,-0.9975003560384152
2023-12-21,-0.08416570027669223
2023-12-22,-0.28866399129232434
2023-12-26,-0.9361651102701908
2023-12-27,-1.2218330383300657
2023-12-28,-0.0006652832031335265
2023-12-29,0.9810000101725294
2024-01-02,
2024-01-03,
